customer_id,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,support_tickets,paperless_billing,senior_citizen,churn
CUST_10000,52,Month-to-month,Fiber optic,Bank transfer,82.35,4297.49,6,Yes,0,1
CUST_10001,15,Two year,No,Credit card,22.62,349.09,1,Yes,0,0
CUST_10002,61,Month-to-month,Fiber optic,Credit card,85.87,5250.57,2,Yes,1,0
CUST_10003,21,Month-to-month,Fiber optic,Credit card,87.25,1834.79,0,Yes,1,1
CUST_10004,24,One year,Fiber optic,Mailed check,68.37,1636.01,1,Yes,0,0
CUST_10005,3,Month-to-month,Fiber optic,Mailed check,94.52,282.56,0,Yes,0,1
CUST_10006,22,Two year,DSL,Mailed check,62.5,1381.5,1,No,0,0
CUST_10007,53,One year,DSL,Electronic check,53.26,2792.7,1,No,0,1
CUST_10008,2,Month-to-month,DSL,Bank transfer,48.07,109.23,3,No,0,1
CUST_10009,30,Month-to-month,Fiber optic,Electronic check,81.36,2477.19,1,Yes,1,1
CUST_10010,38,Two year,DSL,Credit card,44.87,1712.27,0,No,0,1
CUST_10011,2,Two year,DSL,Bank transfer,38.13,72.05,1,Yes,0,0
CUST_10012,64,Month-to-month,DSL,Bank transfer,54.95,3514.38,2,Yes,0,0
CUST_10013,60,One year,No,Mailed check,26.23,1584.41,0,Yes,1,0
CUST_10014,21,Month-to-month,DSL,Electronic check,52.46,1097.79,2,Yes,1,1
CUST_10015,33,Two year,Fiber optic,Electronic check,69.96,2321.71,0,Yes,0,0
CUST_10016,58,Month-to-month,DSL,Mailed check,67.09,3888.61,1,No,0,0
CUST_10017,22,Two year,Fiber optic,Electronic check,96.31,2144.53,1,Yes,0,1
CUST_10018,49,One year,DSL,Bank transfer,50.68,2508.62,3,Yes,0,0
CUST_10019,59,One year,DSL,Credit card,58.78,3463.07,1,Yes,0,0
CUST_10020,42,Month-to-month,Fiber optic,Credit card,71.35,,1,Yes,1,1
CUST_10021,60,Month-to-month,DSL,Bank transfer,40.49,2429.06,2,Yes,1,0
CUST_10022,15,Month-to-month,DSL,Electronic check,58.81,882.02,4,Yes,0,1
CUST_10023,62,Month-to-month,DSL,Credit card,50.55,3119.89,2,No,0,0
CUST_10024,62,Month-to-month,DSL,Credit card,45.99,2835.07,1,Yes,0,0
CUST_10025,47,One year,DSL,Electronic check,61.03,2887.16,1,Yes,0,1
CUST_10026,62,Month-to-month,DSL,Bank transfer,46.88,2922.91,0,No,0,0
CUST_10027,51,Month-to-month,Fiber optic,Electronic check,80.42,4117.51,2,No,0,1
CUST_10028,55,Two year,Fiber optic,Credit card,91.12,5010.56,2,No,0,0
CUST_10029,64,Two year,Fiber optic,Credit card,79.18,5095.9,2,No,0,0
CUST_10030,3,Two year,DSL,Electronic check,68.32,204.62,1,Yes,0,0
CUST_10031,51,Two year,No,Credit card,30.32,1559.26,2,Yes,0,0
CUST_10032,7,Month-to-month,DSL,Bank transfer,56.13,,2,No,0,1
CUST_10033,21,Month-to-month,DSL,Credit card,63.57,1331.52,2,No,0,0
CUST_10034,39,One year,Fiber optic,Mailed check,86.01,3352.05,1,Yes,0,1
CUST_10035,18,One year,DSL,Credit card,43.69,785.44,3,Yes,0,0
CUST_10036,4,Month-to-month,DSL,Electronic check,59.21,216.96,3,No,1,0
CUST_10037,60,Two year,Fiber optic,Electronic check,64.93,3906.36,1,Yes,0,0
CUST_10038,14,Month-to-month,No,Electronic check,20.77,306.21,3,Yes,1,0
CUST_10039,9,Month-to-month,Fiber optic,Credit card,85.25,756.09,2,Yes,0,1
CUST_10040,53,Month-to-month,Fiber optic,Credit card,82.26,4342.57,4,No,0,1
CUST_10041,2,One year,No,Credit card,18.84,26.15,2,No,0,1
CUST_10042,60,One year,DSL,Credit card,63.65,3826.43,3,Yes,0,0
CUST_10043,71,Month-to-month,DSL,Electronic check,63.1,4471.15,1,Yes,1,1
CUST_10044,44,Two year,DSL,Mailed check,43.62,1917.27,3,Yes,1,0
CUST_10045,8,Month-to-month,Fiber optic,Electronic check,93.15,729.1,1,Yes,1,1
CUST_10046,47,Month-to-month,Fiber optic,Electronic check,86.79,4108.82,3,Yes,0,0
CUST_10047,35,Two year,No,Electronic check,29.13,1020.65,0,Yes,0,0
CUST_10048,36,Two year,Fiber optic,Mailed check,83.56,3025.41,0,Yes,0,0
CUST_10049,50,Two year,Fiber optic,Electronic check,93.88,4701.4,1,No,0,0
CUST_10050,4,Two year,DSL,Electronic check,49.98,199.29,2,No,0,1
CUST_10051,2,One year,Fiber optic,Electronic check,72.5,143.6,1,Yes,1,1
CUST_10052,6,One year,No,Electronic check,19.98,109.0,0,Yes,1,0
CUST_10053,54,Month-to-month,Fiber optic,Credit card,67.12,3617.72,2,No,0,1
CUST_10054,4,Month-to-month,DSL,Bank transfer,76.45,290.68,0,Yes,0,1
CUST_10055,54,Month-to-month,Fiber optic,Credit card,94.69,5096.51,3,No,0,1
CUST_10056,63,Month-to-month,DSL,Mailed check,64.7,4107.4,2,Yes,0,0
CUST_10057,18,One year,DSL,Electronic check,59.71,1078.96,2,No,0,1
CUST_10058,44,Month-to-month,DSL,Bank transfer,51.33,2280.51,1,No,1,0
CUST_10059,34,Month-to-month,Fiber optic,Electronic check,98.12,3324.17,0,No,0,0
CUST_10060,62,Month-to-month,Fiber optic,Electronic check,107.85,6667.93,0,No,0,1
CUST_10061,14,One year,DSL,Electronic check,56.88,781.65,1,No,0,0
CUST_10062,48,Month-to-month,DSL,Electronic check,58.89,2820.39,2,Yes,0,0
CUST_10063,15,Two year,Fiber optic,Electronic check,85.34,1280.65,4,Yes,1,0
CUST_10064,62,Month-to-month,DSL,Mailed check,52.09,3227.32,3,Yes,0,0
CUST_10065,40,Month-to-month,DSL,Bank transfer,49.06,1950.8,3,No,1,1
CUST_10066,53,One year,Fiber optic,Electronic check,84.88,4499.96,2,No,0,0
CUST_10067,24,Two year,Fiber optic,Electronic check,88.56,2128.07,1,Yes,0,1
CUST_10068,26,Month-to-month,DSL,Credit card,77.06,2014.09,0,Yes,0,0
CUST_10069,60,One year,DSL,Electronic check,66.99,4041.46,2,No,0,1
CUST_10070,41,One year,DSL,Electronic check,42.41,1733.35,0,Yes,0,0
CUST_10071,29,Month-to-month,No,Credit card,23.28,,4,Yes,0,0
CUST_10072,15,Two year,Fiber optic,Electronic check,67.95,1020.24,2,No,0,0
CUST_10073,45,One year,Fiber optic,Electronic check,78.79,3522.64,0,Yes,0,1
CUST_10074,65,One year,DSL,Mailed check,59.89,3919.6,0,Yes,1,0
CUST_10075,71,Two year,Fiber optic,Electronic check,97.36,6946.65,1,Yes,1,0
CUST_10076,9,Two year,DSL,Bank transfer,70.29,641.9,1,Yes,0,0
CUST_10077,1,One year,Fiber optic,Credit card,75.52,76.87,2,Yes,1,1
CUST_10078,8,Two year,No,Electronic check,18.0,139.93,0,Yes,0,0
CUST_10079,63,One year,Fiber optic,Bank transfer,69.09,4345.71,0,Yes,0,0
CUST_10080,11,One year,No,Mailed check,18.0,216.16,1,Yes,0,0
CUST_10081,8,One year,Fiber optic,Electronic check,65.03,519.98,2,Yes,1,1
CUST_10082,35,One year,DSL,Bank transfer,59.79,2117.76,1,Yes,0,0
CUST_10083,35,Month-to-month,No,Electronic check,18.0,630.52,3,No,0,1
CUST_10084,33,Two year,DSL,Mailed check,43.66,1434.59,1,Yes,0,0
CUST_10085,5,Two year,Fiber optic,Electronic check,95.99,470.93,1,No,0,1
CUST_10086,41,Month-to-month,DSL,Mailed check,60.23,2458.27,3,No,0,0
CUST_10087,28,Two year,DSL,Electronic check,53.72,1511.87,2,Yes,0,0
CUST_10088,7,Month-to-month,Fiber optic,Credit card,72.32,486.82,2,No,0,1
CUST_10089,12,Month-to-month,DSL,Electronic check,51.08,600.68,1,Yes,1,1
CUST_10090,34,One year,Fiber optic,Mailed check,73.95,2534.17,3,No,0,0
CUST_10091,33,Month-to-month,Fiber optic,Mailed check,79.09,2595.65,2,Yes,1,0
CUST_10092,48,Two year,DSL,Bank transfer,57.22,2759.5,2,No,0,0
CUST_10093,23,Two year,DSL,Bank transfer,50.88,1139.29,2,Yes,0,0
CUST_10094,62,Month-to-month,Fiber optic,Bank transfer,74.31,4628.97,1,No,0,0
CUST_10095,37,Month-to-month,DSL,Bank transfer,48.11,1761.02,2,Yes,0,1
CUST_10096,44,Month-to-month,Fiber optic,Credit card,90.82,3982.93,1,No,1,1
CUST_10097,35,One year,Fiber optic,Electronic check,79.39,2788.86,0,Yes,0,1
CUST_10098,65,Two year,Fiber optic,Mailed check,75.34,4901.16,2,No,1,1
CUST_10099,47,One year,Fiber optic,Credit card,86.02,4056.36,1,Yes,0,0
CUST_10100,3,Month-to-month,Fiber optic,Credit card,82.56,228.51,4,Yes,1,1
CUST_10101,1,One year,Fiber optic,Credit card,87.64,83.34,2,No,0,0
CUST_10102,5,Month-to-month,DSL,Mailed check,59.39,287.69,1,No,0,0
CUST_10103,14,One year,DSL,Electronic check,32.55,439.05,0,Yes,0,0
CUST_10104,27,Month-to-month,Fiber optic,Mailed check,77.33,2096.85,0,No,0,1
CUST_10105,9,One year,Fiber optic,Bank transfer,74.31,682.94,2,No,0,1
CUST_10106,15,Month-to-month,Fiber optic,Mailed check,74.77,1116.5,1,No,0,1
CUST_10107,42,Two year,Fiber optic,Mailed check,67.45,2855.74,1,Yes,0,0
CUST_10108,51,Month-to-month,No,Credit card,18.0,906.21,2,Yes,1,0
CUST_10109,63,One year,No,Mailed check,18.0,1156.48,0,No,0,0
CUST_10110,52,Two year,Fiber optic,Credit card,90.86,4733.15,4,Yes,0,0
CUST_10111,4,Month-to-month,DSL,Mailed check,57.81,212.89,1,Yes,0,1
