sqft_living,bedrooms,bathrooms,location_grade,year_built,has_garage,distance_to_center_km,price
2038,3,1.0,Tier1,1992,1,32.3,778800.0
1531,3,2.0,Tier2,1975,1,17.6,524000.0
1462,3,1.0,Tier2,2020,0,16.5,529100.0
1462,3,2.0,Tier1,1982,1,3.2,699000.0
3141,2,3.0,Tier2,1975,0,0.7,786500.0
2285,3,2.0,Tier1,1994,1,8.7,852500.0
1303,2,3.0,Tier3,2012,1,1.6,416600.0
2078,3,3.0,Tier2,2016,1,39.3,612300.0
1823,3,2.0,Tier1,2001,1,4.1,874500.0
571,3,1.5,Tier2,2017,1,23.0,344800.0
980,5,2.5,Tier2,1975,1,5.9,476600.0
1882,3,1.0,Rural,1951,0,4.7,389700.0
3010,3,3.5,Tier2,1963,1,32.8,738100.0
1468,3,2.5,Tier2,1979,1,5.4,531700.0
1255,3,1.0,Tier3,1998,0,5.9,352600.0
1718,2,1.0,Tier2,1961,0,1.3,527400.0
1219,2,3.0,Rural,1993,1,13.3,340500.0
1422,3,1.0,Tier2,1982,1,4.1,526100.0
1623,3,3.5,Tier2,1962,0,10.6,564000.0
957,1,1.0,Tier1,1975,1,10.7,445900.0
2337,2,2.0,Tier2,1970,1,15.2,668700.0
873,2,2.5,Tier3,1977,1,16.4,283600.0
820,5,2.0,Tier3,1997,1,8.7,390300.0
1786,3,3.5,Tier1,1989,1,4.8,805200.0
2257,3,1.0,Tier1,2015,1,21.8,794800.0
1766,2,3.5,Tier3,2022,1,4.5,537900.0
1547,3,3.0,Rural,1972,1,8.5,290600.0
1416,2,2.0,Tier1,1997,1,6.2,718000.0
1309,2,2.0,Tier2,1951,0,23.2,415600.0
2570,3,1.5,Tier2,1969,0,6.8,714500.0
1890,1,1.0,Tier3,2008,1,5.9,423600.0
1359,1,3.0,Tier1,1995,1,14.0,607800.0
1173,2,2.0,Tier1,1952,1,11.1,539000.0
2140,1,2.0,Tier3,2004,1,1.4,538800.0
2543,2,3.0,Tier1,1961,1,8.5,873700.0
2443,3,3.5,Tier2,1989,1,16.0,699700.0
1077,4,3.5,Tier2,2015,0,58.1,361500.0
1410,3,1.0,Tier2,1965,1,11.9,425900.0
1297,3,1.5,Tier2,1983,1,5.6,541700.0
1496,2,2.0,Tier2,1993,1,3.1,561700.0
2327,4,1.5,Tier1,1955,1,24.7,782600.0
2888,3,3.5,Tier2,2013,0,20.2,856800.0
1922,2,3.5,Tier3,1971,1,3.2,562000.0
1192,3,2.5,Tier3,1967,1,2.7,411900.0
1606,2,1.0,Tier1,1961,0,15.1,575600.0
3124,3,2.5,Tier1,2001,1,4.5,1133200.0
1700,3,2.5,Tier2,2000,0,4.4,569600.0
1417,4,2.5,Tier2,2020,1,2.0,553900.0
1472,3,1.0,Tier2,1997,1,3.7,587300.0
1918,3,1.0,Tier3,1968,1,6.7,463200.0
1095,5,3.0,Tier1,1955,1,15.8,599600.0
1282,2,1.5,Tier1,1976,1,4.9,566400.0
2427,2,1.5,Tier2,2002,1,4.8,710800.0
1894,3,3.0,Tier3,1997,1,4.0,643800.0
1707,3,3.0,Tier1,1956,1,7.8,714600.0
2480,3,3.5,Tier3,2008,1,2.4,711100.0
1157,4,2.5,Tier2,2018,1,8.0,530000.0
1397,3,3.0,Tier3,1960,1,14.6,436900.0
1867,3,2.0,Tier3,1964,1,0.4,547800.0
1838,3,1.5,Tier2,2013,1,0.1,651900.0
779,4,3.0,Tier1,1952,0,0.9,499500.0
1335,5,2.0,Tier2,2018,1,9.2,560800.0
1514,4,2.0,Tier1,1972,1,23.1,640600.0
1958,1,2.0,Tier3,2002,1,0.1,585300.0
