PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,1,2,"Passenger, Person 1",female,29.4,0,0,TICKET_1001,34.53,n
2,1,3,"Passenger, Person 2",female,4.0,0,0,TICKET_1002,9.22,n
3,0,3,"Passenger, Person 3",male,20.3,0,0,TICKET_1003,11.07,S
4,1,3,"Passenger, Person 4",female,26.9,1,0,TICKET_1004,7.15,S
5,0,1,"Passenger, Person 5",male,56.2,1,0,TICKET_1005,79.38,S
6,0,1,"Passenger, Person 6",male,59.9,0,0,TICKET_1006,53.44,S
7,1,1,"Passenger, Person 7",female,38.4,1,0,TICKET_1007,56.19,S
8,1,3,"Passenger, Person 8",male,,0,0,TICKET_1008,15.48,S
9,0,3,"Passenger, Person 9",male,9.2,0,0,TICKET_1009,18.9,S
10,0,3,"Passenger, Person 10",male,34.3,0,0,TICKET_1010,20.45,S
11,0,1,"Passenger, Person 11",male,66.2,0,2,TICKET_1011,151.3,S
12,1,3,"Passenger, Person 12",male,16.0,1,0,TICKET_1012,8.84,S
13,1,3,"Passenger, Person 13",male,7.4,1,0,TICKET_1013,17.69,S
14,0,1,"Passenger, Person 14",male,40.6,0,1,TICKET_1014,78.47,S
15,1,1,"Passenger, Person 15",female,,0,0,TICKET_1015,31.49,C
16,1,1,"Passenger, Person 16",female,24.4,1,0,TICKET_1016,39.54,S
17,0,2,"Passenger, Person 17",male,47.5,2,1,TICKET_1017,14.47,C
18,0,3,"Passenger, Person 18",male,31.3,0,1,TICKET_1018,39.45,S
19,0,2,"Passenger, Person 19",male,41.7,2,0,TICKET_1019,46.14,S
20,0,2,"Passenger, Person 20",male,,0,0,TICKET_1020,33.2,S
21,0,3,"Passenger, Person 21",male,15.6,0,0,TICKET_1021,29.34,S
22,1,1,"Passenger, Person 22",male,48.1,1,1,TICKET_1022,85.49,S
23,0,2,"Passenger, Person 23",male,,0,0,TICKET_1023,17.92,S
24,0,2,"Passenger, Person 24",male,34.4,0,0,TICKET_1024,16.02,S
25,0,3,"Passenger, Person 25",male,35.7,0,1,TICKET_1025,7.59,S
26,0,3,"Passenger, Person 26",male,,1,0,TICKET_1026,10.95,S
27,1,1,"Passenger, Person 27",female,33.5,1,0,TICKET_1027,62.63,S
28,1,3,"Passenger, Person 28",female,33.5,0,0,TICKET_1028,10.91,S
29,0,3,"Passenger, Person 29",male,52.4,0,0,TICKET_1029,10.21,S
30,1,1,"Passenger, Person 30",female,45.8,0,0,TICKET_1030,136.73,S
31,0,3,"Passenger, Person 31",male,,0,1,TICKET_1031,23.46,C
32,1,1,"Passenger, Person 32",female,,0,0,TICKET_1032,141.01,S
33,1,1,"Passenger, Person 33",female,29.0,1,0,TICKET_1033,69.28,S
34,1,3,"Passenger, Person 34",male,2.4,0,0,TICKET_1034,8.38,S
35,1,3,"Passenger, Person 35",male,20.5,0,0,TICKET_1035,16.51,C
36,0,3,"Passenger, Person 36",male,,0,2,TICKET_1036,7.89,S
37,0,2,"Passenger, Person 37",male,40.5,0,0,TICKET_1037,20.18,S
38,0,1,"Passenger, Person 38",male,45.1,2,0,TICKET_1038,126.52,C
39,0,3,"Passenger, Person 39",male,27.7,0,2,TICKET_1039,8.77,S
40,0,2,"Passenger, Person 40",male,32.0,0,0,TICKET_1040,22.65,S
41,1,1,"Passenger, Person 41",female,,0,0,TICKET_1041,60.53,C
42,0,3,"Passenger, Person 42",female,16.9,0,0,TICKET_1042,11.61,S
43,1,1,"Passenger, Person 43",male,23.4,0,1,TICKET_1043,42.1,C
44,0,3,"Passenger, Person 44",male,35.0,0,0,TICKET_1044,12.29,C
45,0,2,"Passenger, Person 45",male,21.0,0,0,TICKET_1045,26.94,Q
46,0,3,"Passenger, Person 46",male,30.4,0,0,TICKET_1046,10.1,S
47,1,2,"Passenger, Person 47",female,14.7,0,0,TICKET_1047,15.21,S
48,1,3,"Passenger, Person 48",male,10.9,0,0,TICKET_1048,10.78,S
49,0,3,"Passenger, Person 49",male,45.0,2,0,TICKET_1049,15.92,S
50,1,1,"Passenger, Person 50",male,49.4,0,0,TICKET_1050,49.72,S
51,0,3,"Passenger, Person 51",male,33.8,0,0,TICKET_1051,13.05,S
52,1,3,"Passenger, Person 52",female,46.4,0,0,TICKET_1052,14.13,S
53,1,3,"Passenger, Person 53",female,5.1,0,0,TICKET_1053,8.79,S
54,0,3,"Passenger, Person 54",male,18.7,1,1,TICKET_1054,9.71,S
55,0,3,"Passenger, Person 55",male,16.2,0,1,TICKET_1055,8.41,C
56,0,3,"Passenger, Person 56",male,,1,0,TICKET_1056,9.29,C
57,1,1,"Passenger, Person 57",female,44.9,0,0,TICKET_1057,27.11,C
58,1,1,"Passenger, Person 58",female,48.3,0,0,TICKET_1058,208.07,S
59,0,1,"Passenger, Person 59",male,47.3,1,2,TICKET_1059,169.71,Q
60,0,2,"Passenger, Person 60",male,9.3,0,1,TICKET_1060,39.34,C
61,0,2,"Passenger, Person 61",female,24.4,0,1,TICKET_1061,38.26,S
62,0,2,"Passenger, Person 62",male,40.6,0,0,TICKET_1062,12.45,S
63,1,3,"Passenger, Person 63",female,14.8,1,0,TICKET_1063,20.6,S
64,0,2,"Passenger, Person 64",male,35.5,0,0,TICKET_1064,13.36,S
65,0,2,"Passenger, Person 65",male,29.6,1,0,TICKET_1065,15.29,S
66,0,3,"Passenger, Person 66",male,24.5,0,0,TICKET_1066,9.44,S
67,0,1,"Passenger, Person 67",male,55.3,1,2,TICKET_1067,64.72,C
68,0,3,"Passenger, Person 68",male,,0,0,TICKET_1068,9.92,S
69,1,1,"Passenger, Person 69",female,42.3,1,0,TICKET_1069,167.2,S
70,1,3,"Passenger, Person 70",male,47.9,0,0,TICKET_1070,7.39,C
71,0,3,"Passenger, Person 71",male,9.6,1,2,TICKET_1071,8.98,S
72,0,1,"Passenger, Person 72",male,74.4,0,0,TICKET_1072,40.33,Q
73,0,1,"Passenger, Person 73",male,45.9,0,0,TICKET_1073,57.57,S
74,1,3,"Passenger, Person 74",male,9.9,0,1,TICKET_1074,11.86,Q
75,0,3,"Passenger, Person 75",male,27.2,0,0,TICKET_1075,16.58,S
76,0,3,"Passenger, Person 76",female,36.3,0,0,TICKET_1076,10.93,S
77,1,3,"Passenger, Person 77",male,25.1,2,0,TICKET_1077,8.39,S
78,1,1,"Passenger, Person 78",male,,3,0,TICKET_1078,130.15,S
79,0,2,"Passenger, Person 79",male,37.0,0,1,TICKET_1079,25.04,C
80,0,1,"Passenger, Person 80",female,20.9,2,1,TICKET_1080,68.85,S
81,0,3,"Passenger, Person 81",female,,0,0,TICKET_1081,7.57,Q
82,1,3,"Passenger, Person 82",female,34.3,0,0,TICKET_1082,12.66,S
83,1,2,"Passenger, Person 83",male,32.4,1,0,TICKET_1083,11.65,S
84,0,1,"Passenger, Person 84",male,,0,0,TICKET_1084,44.37,C
85,0,2,"Passenger, Person 85",male,30.9,3,0,TICKET_1085,50.71,S
86,0,2,"Passenger, Person 86",male,5.9,0,0,TICKET_1086,11.07,S
87,1,3,"Passenger, Person 87",male,,0,0,TICKET_1087,20.71,C
88,0,3,"Passenger, Person 88",male,28.6,0,1,TICKET_1088,13.46,C
89,0,3,"Passenger, Person 89",male,32.7,0,0,TICKET_1089,11.79,Q
90,0,3,"Passenger, Person 90",male,37.7,0,0,TICKET_1090,9.69,C
91,1,1,"Passenger, Person 91",female,36.1,3,0,TICKET_1091,339.59,S
92,1,3,"Passenger, Person 92",male,26.8,1,1,TICKET_1092,10.86,C
93,0,3,"Passenger, Person 93",male,14.4,1,0,TICKET_1093,21.44,S
94,0,3,"Passenger, Person 94",female,,0,0,TICKET_1094,34.34,Q
95,0,3,"Passenger, Person 95",male,39.2,0,0,TICKET_1095,11.62,S
96,0,3,"Passenger, Person 96",female,42.2,0,0,TICKET_1096,11.0,S
97,0,3,"Passenger, Person 97",male,,0,0,TICKET_1097,22.0,S
98,0,2,"Passenger, Person 98",male,27.0,0,1,TICKET_1098,96.95,S
99,1,1,"Passenger, Person 99",female,48.1,1,2,TICKET_1099,28.29,S
100,1,1,"Passenger, Person 100",female,32.8,0,1,TICKET_1100,25.15,C
101,0,1,"Passenger, Person 101",female,62.2,0,0,TICKET_1101,43.25,C
102,0,3,"Passenger, Person 102",male,48.3,0,0,TICKET_1102,13.07,S
